주소,위도,경도,지점
충청북도 음성군 맹동면 동성리 500번지충청북도 음성군 맹동면 대하1길 10,127.5405988,36.90804,CGV충북혁신
"충주시 교현동 539-1 한스 타워 5,6,7,8층충주시 국원대로 107 한스 타워 5,6,7,8층",127.927826,36.9810238,CGV충주교현
"충청남도 홍성군 홍성읍 고암리 1042번지충청남도 홍성군 홍성읍 조양로247번길 9, 5층(고암리)",126.6762899,36.6010812,CGV홍성
대구광역시 북구 칠성동2가 20-1 스펙트럼시티 4층대구광역시 북구 침산로 93 스펙트럼시티 4층,128.5898384,35.8851464,CGV대구
"대구광역시 수성구 범물동 1273번지 동아백화점 8층대구광역시 수성구 지범로 191, 8층(범물동)",128.6404323,35.8210867,CGV대구수성
대구시 수성구 대흥동 504번지 일대대구광역시 수성구 유니버시아드로 140  (대흥동),128.6865192,35.8293315,CGV대구스타디움
대구광역시 중구 남일동 65-1대구광역시 중구 중앙대로 412 (남일동),128.5942424,35.8699358,CGV대구아카데미
대구광역시 북구 연경동 1078-2번지대구광역시 북구 동화천로290,128.6228515,35.9413527,CGV대구연경
대구광역시 달서구 월성동 1846번지 이래타워 4F대구광역시 달서구 조암로 29 (월성동) 이래타워 4F,128.5269727,35.8246183,CGV대구월성
대구광역시 달서구 죽전동 273대구광역시 달서구 달구벌대로 1551 죽전역골든타워 8층,128.5352341,35.8506927,CGV대구죽전
"대구광역시 중구 동성로 2가 88-22 씨네시티한일 7층대구광역시 중구 동성로 39, 7층(성내1동)",128.5953729,35.8704611,CGV대구한일
"대구광역시 중구 계산동2가 200번지 지하 2층대구광역시 중구 달구벌대로 2077, 지하2층(계산동2가)",128.5906226,35.8667667,CGV대구현대
"부산광역시 남구 대연동 73-15번지 스파크 5층부산광역시 남구 수영로 305, 5층(대연동)",129.0992614,35.1373407,CGV대연
"부산광역시 강서구 명지동 3586-4 명지플러스시네마 9층부산광역시 강서구 명지국제8로 10번길 38, 명지플러스시네마 9층",128.9031205,35.0944378,CGV부산명지
